WhiteCat,2,1,19573,29598,20696660903,98.62,29409,1.36E+11,9806897,6229
NyanPotato,8,1,17326,67110,8769579614,97.51,103959,1.06E+11,19425606,2055
rushia1,1,1,21667,79384,35763563720,98.29,107531,2.16E+11,22951826,6638
Vaxei,5,1,18012,128727,56720254019,98.99,158163,4.59E+11,35557292,7540
RyuK,3,1,18646,168235,88155865573,98.79,224051,6.21E+11,46400115,7282
Andros,10,1,17207,82648,39738770688,98.41,85382,3.50E+11,24636607,8311
A21,9,1,17207,82338,49025246580,98.59,93534,2.50E+11,22292561,6463
Lifeline,7,1,17819,96392,33721106138,98.11,144433,2.36E+11,27446835,5082
Mathi,11,1,17169,185378,87787046497,98.87,199500,7.76E+11,54646253,8340
Karthy,15,1,16712,202021,1.29E+11,99.1,167385,8.21E+11,58751364,8342
Micca,13,1,16950,92903,23943158755,98.89,133002,2.00E+11,22346404,5793
idke,18,4,16615,100561,62634347612,99.21,68993,8.15E+11,36363389,8692
Aireu,17,3,16624,162940,54188423560,99.13,220374,4.00E+11,37515223,10204
badeu,19,1,16612,131443,68352537934,97.45,119519,3.43E+11,35914666,8902
Paraqeet,14,2,16759,115510,20585228008,97.64,177579,1.40E+11,31105927,2403
Dereban,12,2,17048,149597,37440103531,99.07,197973,3.21E+11,41288872,3862
Rafis,20,1,16592,219138,71030252234,98.99,312286,7.01E+11,59851838,5086
FlyingTuna,16,1,16660,109412,37562142535,98.08,116990,3.09E+11,30756327,3836
Varvalian,30,2,16113,237985,1.41E+11,99.4,244841,1.07E+12,66684607,10212
Umbre,27,2,16127,219575,71998825645,99.56,266868,7.89E+11,61817367,6723
FGSky,29,1,16123,183801,20818131608,96.92,266824,3.14E+11,47930427,5489
ChocoPafe,25,1,16338,96869,28690783136,98.38,150624,2.14E+11,24547446,4180
Alumetri,22,2,16521,84620,21535206544,98.82,116678,2.02E+11,21708255,3814
Spare,28,2,16124,177033,1.19E+11,99.23,189044,6.79E+11,46799698,8167
im a fancy lad,24,6,16456,107124,64010424439,98.27,97388,3.97E+11,30260613,10207
Freddie Benson,23,5,16508,70056,26213462081,98.22,76013,1.96E+11,19822560,7273
SWAGGYSWAGSTER,26,7,16304,112353,36914215037,98.99,100411,4.74E+11,34939255,8691
eternum,37,2,15700,51977,41394004816,99.35,55465,2.52E+11,14327468,6006
obtio,31,2,16068,132991,21991536070,98.14,206348,2.45E+11,33533189,2450
Vamhi,38,2,15647,94733,12052191368,97.39,154873,1.40E+11,24463300,3213
InBefore,34,1,15855,108051,18038977415,98.42,146791,1.87E+11,29784875,3521
SrChispa,36,1,15719,75080,35066596445,97.96,89931,2.11E+11,21176917,4530
ASecretBox,33,3,15925,156252,39357767373,98.82,206892,4.08E+11,40469435,8332
JappaDeKappa,39,9,15575,59388,7627029357,98.19,100447,66030275907,17082604,1981
ciru,35,8,15724,99649,27526301491,98.66,168731,1.71E+11,28452889,8692
